Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,3,Albania,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2755.2,,Official data
PP,Producer Prices,9,Argentina,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,907.8,,Official data
PP,Producer Prices,1,Armenia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,818.4,,Official data
PP,Producer Prices,57,Belarus,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,816.8,,Official data
PP,Producer Prices,27,Bulgaria,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1041.6,,Official data
PP,Producer Prices,58,Ecuador,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1614.7,,Official data
PP,Producer Prices,91,Guyana,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2110.3,,Official data
PP,Producer Prices,109,Jamaica,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1485.2,,Official data
PP,Producer Prices,121,Lebanon,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1777.1,,Official data
PP,Producer Prices,131,Malaysia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1083.7,,Official data
PP,Producer Prices,138,Mexico,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1188,,Official data
PP,Producer Prices,154,North Macedonia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,728,,Official data
PP,Producer Prices,170,Peru,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1392.2,,Official data
PP,Producer Prices,183,Romania,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,929.7,,Official data
PP,Producer Prices,185,Russian Federation,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1167.2,,Official data
PP,Producer Prices,189,Saint Lucia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1874.1,,Official data
PP,Producer Prices,272,Serbia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,908,,Official data
PP,Producer Prices,207,Suriname,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2266,,Official data
PP,Producer Prices,216,Thailand,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1186.9,,Official data
PP,Producer Prices,223,Turkey,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2991.5,,Official data
,,,,,,,,,,,,,1452.12,,
